Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,728.549988,730.450012,712.900024,714.099976,710.939819,83888
2022-01-19,725.500000,725.500000,701.750000,704.049988,700.934265,80830
2022-01-20,702.599976,718.900024,702.599976,715.299988,712.134521,270601
2022-01-21,712.799988,713.700012,689.250000,695.049988,691.974121,133044
2022-01-24,694.000000,707.150024,677.500000,689.599976,686.548218,224258
2022-01-25,685.000000,720.150024,684.000000,711.900024,708.749573,272728
2022-01-27,706.000000,715.950012,701.599976,707.200012,704.070374,250227
2022-01-28,718.000000,752.799988,702.000000,715.900024,712.731873,579603
2022-01-31,730.250000,734.799988,719.400024,729.400024,726.172119,377920
2022-02-01,734.000000,735.000000,718.299988,722.750000,719.551514,278852
2022-02-02,734.000000,734.000000,720.799988,724.950012,721.741821,82530
2022-02-03,728.000000,728.799988,718.549988,721.599976,718.406616,74344
2022-02-04,721.599976,723.150024,716.549988,720.200012,717.012817,94805
2022-02-07,719.400024,719.599976,699.549988,706.500000,703.373474,190773
2022-02-08,718.200012,718.200012,701.000000,708.849976,705.713013,241296
2022-02-09,709.099976,726.000000,702.150024,719.599976,716.415466,458768
2022-02-10,725.000000,726.799988,708.650024,723.799988,720.596863,198926
2022-02-11,718.000000,725.200012,710.950012,714.450012,711.288269,129216
2022-02-14,708.500000,708.500000,685.000000,688.049988,685.005066,279171
2022-02-15,697.000000,713.150024,687.750000,711.349976,708.201965,171221
2022-02-16,715.200012,728.000000,707.700012,721.400024,718.207520,203539
2022-02-17,726.000000,727.000000,715.099976,717.150024,713.976318,157848
2022-02-18,708.150024,719.400024,708.150024,712.700012,709.546021,107842
2022-02-21,706.000000,716.250000,702.750000,709.799988,706.658813,262041
2022-02-22,695.000000,701.599976,687.700012,699.900024,696.802673,286312
2022-02-23,698.000000,708.900024,698.000000,704.250000,701.133423,203509
2022-02-24,689.000000,689.000000,645.599976,670.750000,667.781677,636847
2022-02-25,680.000000,695.000000,677.799988,688.450012,685.403320,152744
2022-02-28,683.000000,689.799988,666.900024,686.250000,683.213074,177372
2022-03-02,686.250000,686.250000,666.049988,673.900024,670.917725,274602
2022-03-03,676.099976,679.799988,668.849976,671.799988,668.827026,142360
2022-03-04,667.950012,667.950012,650.000000,653.000000,650.110229,148028
2022-03-07,643.000000,679.000000,638.900024,675.599976,672.610168,389014
2022-03-08,675.400024,686.799988,667.700012,682.900024,679.877930,269174
2022-03-09,683.000000,698.099976,674.450012,691.450012,688.390076,225062
2022-03-10,705.299988,707.299988,690.750000,697.549988,694.463074,101287
2022-03-11,696.049988,702.200012,691.599976,694.799988,691.725220,68244
2022-03-14,688.400024,704.849976,688.400024,700.549988,697.449768,128884
2022-03-15,700.799988,709.450012,695.400024,703.349976,700.237366,350151
2022-03-16,706.000000,715.000000,705.000000,712.599976,709.446411,286825
2022-03-17,719.000000,727.700012,714.700012,722.799988,719.601318,228481
2022-03-21,702.000000,723.000000,702.000000,709.349976,706.210815,228917
2022-03-22,707.200012,720.900024,706.099976,719.250000,716.067017,86945
2022-03-23,719.900024,719.900024,703.000000,705.049988,701.929871,162570
2022-03-24,699.000000,708.950012,697.349976,706.250000,703.124573,181559
2022-03-25,710.500000,714.400024,705.799988,709.250000,706.111267,163661
2022-03-28,714.950012,737.500000,710.450012,733.349976,730.104614,237001
2022-03-29,740.200012,762.849976,737.049988,754.549988,751.210815,601282
2022-03-30,760.000000,769.750000,744.650024,749.400024,746.083618,185301
2022-03-31,752.000000,759.049988,739.599976,755.400024,752.057068,128187
2022-04-01,757.150024,766.599976,749.099976,758.599976,755.242859,194022
2022-04-04,758.599976,774.849976,756.000000,767.650024,764.252869,255057
2022-04-05,771.000000,773.650024,761.000000,766.250000,762.859009,64906
2022-04-06,765.000000,780.349976,763.049988,775.200012,771.769409,118489
2022-04-07,772.000000,777.450012,759.650024,762.599976,759.225159,55014
2022-04-08,764.200012,768.000000,757.750000,762.150024,758.777222,112355
2022-04-11,755.349976,765.150024,755.349976,757.900024,754.546021,486689
2022-04-12,762.400024,762.400024,740.000000,741.599976,738.318115,77478
2022-04-13,743.000000,756.500000,738.000000,740.700012,737.422119,599288
2022-04-18,729.099976,740.099976,723.500000,729.799988,726.570313,226124
2022-04-19,735.299988,737.650024,717.000000,722.549988,719.352417,480868
2022-04-20,727.200012,744.299988,724.500000,739.400024,736.127869,155124
2022-04-21,746.000000,746.000000,730.000000,734.750000,731.498413,261922
2022-04-22,734.750000,740.750000,729.400024,738.750000,735.480713,64386
2022-04-25,732.000000,743.250000,730.000000,739.450012,736.177673,271553
2022-04-26,744.500000,758.849976,739.250000,756.200012,752.853516,217929
2022-04-27,751.500000,761.349976,746.250000,753.549988,750.215210,75196
2022-04-28,751.799988,754.000000,744.799988,747.250000,743.943115,100891
2022-04-29,750.000000,760.799988,735.750000,739.700012,736.426514,358326
2022-05-02,730.549988,742.700012,730.549988,741.450012,738.168823,202559
2022-05-04,739.099976,739.099976,716.799988,722.599976,719.402161,2872984
2022-05-05,722.099976,733.000000,714.299988,717.549988,714.374512,175716
2022-05-06,715.000000,723.900024,707.750000,710.400024,707.256226,348653
2022-05-09,700.000000,720.000000,700.000000,711.750000,708.600220,189798
2022-05-10,706.500000,728.400024,706.500000,719.599976,716.415466,103773
2022-05-11,720.000000,735.099976,717.200012,722.900024,719.700928,217527
2022-05-12,712.599976,722.750000,702.000000,705.750000,702.626770,226086
2022-05-13,717.900024,717.900024,685.000000,689.400024,686.349121,359357
2022-05-16,683.150024,697.750000,679.849976,692.799988,689.734070,101582
2022-05-17,699.799988,710.000000,691.000000,707.549988,704.418762,123491
2022-05-18,725.400024,727.549988,689.049988,696.049988,692.969666,613144
2022-05-19,686.000000,692.549988,668.200012,673.500000,670.519470,137410
2022-05-20,684.150024,691.500000,683.200012,687.700012,684.656677,235744
2022-05-23,685.000000,693.750000,680.000000,685.700012,682.665527,74307
2022-05-24,686.150024,688.349976,676.150024,678.799988,675.796021,53376
2022-05-25,677.000000,689.849976,677.000000,688.349976,685.303772,174560
2022-05-26,689.000000,695.299988,676.000000,693.349976,690.281616,164584
2022-05-27,702.049988,702.049988,676.150024,684.750000,681.719727,170183
2022-05-30,689.750000,703.750000,682.900024,699.000000,695.906616,379481
2022-05-31,695.000000,706.299988,692.250000,701.099976,697.997314,258495
2022-06-01,698.150024,706.000000,691.299988,694.250000,691.177673,579663
2022-06-02,685.000000,697.000000,683.400024,695.900024,692.820374,143399
2022-06-03,700.450012,700.450012,685.200012,686.400024,683.362427,58969
2022-06-06,682.349976,689.849976,676.599976,683.349976,680.325867,147323
2022-06-07,678.000000,687.299988,673.250000,685.900024,682.864624,173221
2022-06-08,685.000000,687.400024,660.500000,663.200012,660.265076,600555
2022-06-09,658.000000,679.950012,655.150024,676.500000,673.506226,152171
2022-06-10,672.000000,676.549988,664.500000,673.000000,670.021729,113995
2022-06-13,665.000000,673.000000,657.900024,671.200012,668.229675,189725
2022-06-14,673.799988,689.000000,671.000000,682.150024,679.131226,183878
2022-06-15,682.950012,685.000000,673.599976,682.000000,678.981873,214223
2022-06-16,686.000000,686.000000,650.349976,653.950012,651.056030,230008
2022-06-17,659.700012,661.349976,638.349976,643.849976,641.000671,141041
2022-06-20,642.000000,646.599976,634.200012,641.500000,638.661072,92075
2022-06-21,642.000000,658.150024,640.750000,653.750000,650.856873,129214
2022-06-22,642.200012,650.150024,641.299988,642.750000,639.905579,143241
2022-06-23,649.950012,664.250000,647.650024,660.500000,657.577026,64053
2022-06-24,664.950012,675.500000,662.950012,671.500000,668.528320,136462
2022-06-27,677.650024,687.000000,671.150024,684.900024,681.869080,171889
2022-06-28,679.049988,684.950012,676.200012,681.000000,677.986328,66971
2022-06-29,678.000000,689.000000,676.200012,687.500000,684.457520,53292
2022-06-30,691.000000,691.450012,679.349976,683.900024,680.873474,184651
2022-07-01,686.000000,686.000000,666.049988,673.400024,670.419983,284792
2022-07-04,674.250000,685.049988,666.150024,681.900024,678.882324,71201
2022-07-05,682.900024,689.099976,681.000000,684.299988,681.271667,207226
2022-07-06,679.000000,694.900024,679.000000,693.950012,690.879028,73612
2022-07-07,694.950012,696.549988,685.549988,686.650024,683.611328,102775
2022-07-08,686.150024,696.500000,686.150024,695.250000,692.173218,169887
2022-07-11,676.799988,680.599976,659.049988,660.299988,657.377869,362839
2022-07-12,663.000000,666.950012,660.099976,662.450012,659.518372,246101
2022-07-13,685.200012,685.200012,641.299988,643.450012,640.602478,191204
2022-07-14,648.200012,652.099976,629.049988,642.000000,639.158875,194456
2022-07-15,648.200012,657.500000,643.500000,651.650024,648.766235,511567
2022-07-18,660.799988,669.000000,649.349976,663.500000,660.563721,3086280
2022-07-19,673.349976,675.799988,663.400024,672.950012,669.971924,392866
2022-07-20,677.000000,678.000000,668.049988,670.250000,667.283875,419695
2022-07-21,669.650024,679.250000,669.650024,678.599976,675.596924,42016
2022-07-22,682.500000,682.500000,675.150024,678.500000,675.497375,67432
2022-07-25,678.500000,686.549988,676.650024,678.150024,675.148926,55109
2022-07-26,681.000000,685.099976,670.099976,683.799988,680.773865,65233
2022-07-27,684.000000,684.000000,669.750000,674.799988,671.813721,163654
2022-07-28,681.000000,681.000000,664.250000,666.799988,663.849121,486945
2022-07-29,673.000000,680.500000,671.000000,677.900024,674.900024,135806
2022-08-01,679.000000,697.299988,677.849976,694.200012,694.200012,3071366
2022-08-02,699.000000,699.450012,681.400024,686.599976,686.599976,111350
2022-08-03,688.799988,696.650024,687.000000,692.950012,692.950012,115279
2022-08-04,699.000000,699.000000,681.000000,693.950012,693.950012,211393
2022-08-05,700.000000,710.000000,697.200012,703.599976,703.599976,118358
2022-08-08,707.000000,709.750000,699.099976,704.349976,704.349976,259526
2022-08-10,719.000000,719.000000,706.000000,714.950012,714.950012,330344
2022-08-11,723.400024,723.400024,705.849976,709.549988,709.549988,461575
2022-08-12,709.549988,712.200012,706.650024,709.849976,709.849976,170762
2022-08-16,711.000000,715.700012,700.700012,703.799988,703.799988,183506
2022-08-17,706.000000,725.000000,702.799988,721.750000,721.750000,296418
2022-08-18,725.000000,735.700012,721.000000,733.250000,733.250000,201667
2022-08-19,733.250000,737.650024,726.049988,732.349976,732.349976,300170
2022-08-22,729.000000,733.849976,724.650024,727.500000,727.500000,285668
2022-08-23,719.150024,742.650024,719.150024,737.599976,737.599976,94659
2022-08-24,728.000000,792.650024,721.099976,738.900024,738.900024,1103388
2022-08-25,743.500000,768.000000,731.599976,738.049988,738.049988,753933
2022-08-26,743.000000,743.000000,727.900024,730.549988,730.549988,104140
2022-08-29,710.000000,724.950012,710.000000,720.900024,720.900024,145567
2022-08-30,720.900024,729.700012,712.000000,726.500000,726.500000,292063
2022-09-01,723.099976,745.900024,723.099976,735.049988,735.049988,1975791
2022-09-02,725.150024,740.599976,720.049988,734.650024,734.650024,436448
2022-09-05,735.000000,742.000000,733.599976,740.650024,740.650024,200659
2022-09-06,740.000000,792.049988,740.000000,761.299988,761.299988,643788
2022-09-07,756.500000,759.700012,736.099976,753.049988,753.049988,875712
2022-09-08,760.500000,776.000000,757.099976,770.200012,770.200012,539738
2022-09-09,776.000000,776.000000,763.549988,765.549988,765.549988,379713
2022-09-12,767.200012,771.200012,765.049988,768.900024,768.900024,191829
2022-09-13,773.000000,789.000000,770.099976,784.599976,784.599976,419712
2022-09-14,768.000000,788.400024,768.000000,783.450012,783.450012,216299
2022-09-15,786.200012,790.299988,782.000000,784.799988,784.799988,151477
2022-09-16,784.849976,787.299988,776.250000,780.000000,780.000000,85809
2022-09-19,774.900024,786.150024,772.299988,782.599976,782.599976,2042903
2022-09-20,783.599976,796.599976,783.599976,790.549988,790.549988,72943
2022-09-21,792.500000,797.000000,779.250000,780.400024,780.400024,85092
2022-09-22,783.349976,795.000000,776.400024,784.200012,784.200012,168402
2022-09-23,787.200012,787.299988,768.599976,770.950012,770.950012,150233
2022-09-26,767.049988,771.349976,753.500000,755.200012,755.200012,896784
2022-09-27,754.000000,764.700012,754.000000,760.599976,760.599976,193907
2022-09-28,755.000000,771.000000,755.000000,761.400024,761.400024,270799
2022-09-29,761.200012,768.650024,759.549988,765.400024,765.400024,354151
2022-09-30,762.549988,808.849976,761.500000,799.750000,799.750000,262490
2022-10-03,808.500000,815.349976,797.200012,803.450012,803.450012,232929
2022-10-04,816.750000,816.750000,807.099976,808.700012,808.700012,139265
2022-10-06,805.250000,815.750000,785.250000,788.200012,788.200012,154114
2022-10-07,791.000000,796.500000,784.849976,793.400024,793.400024,270612
2022-10-10,787.299988,794.750000,779.599976,792.250000,792.250000,178289
2022-10-11,796.000000,796.700012,776.099976,780.049988,780.049988,2885053
2022-10-12,778.950012,781.099976,769.200012,775.400024,775.400024,167188
2022-10-13,775.400024,778.700012,767.950012,768.799988,768.799988,161121
2022-10-14,777.349976,779.650024,763.200012,766.150024,766.150024,173194
2022-10-17,758.549988,771.000000,758.549988,766.000000,766.000000,2936089
2022-10-18,770.000000,785.250000,769.250000,783.250000,783.250000,90489
2022-10-19,788.000000,788.049988,779.400024,783.349976,783.349976,79966
2022-10-20,781.049988,793.799988,778.849976,792.950012,792.950012,69182
2022-10-21,791.799988,802.500000,789.650024,797.400024,797.400024,110038
2022-10-24,797.599976,807.650024,797.599976,802.299988,802.299988,17289
2022-10-25,806.049988,806.400024,798.700012,802.250000,802.250000,77608
2022-10-27,804.000000,822.500000,804.000000,816.900024,816.900024,275824
2022-10-28,820.000000,824.200012,811.500000,816.799988,816.799988,63091
2022-10-31,820.549988,833.700012,820.200012,832.000000,832.000000,76737
2022-11-01,834.500000,841.299988,821.500000,835.349976,835.349976,444358
2022-11-02,830.000000,830.000000,807.450012,809.900024,809.900024,401871
2022-11-03,805.549988,824.049988,804.500000,818.400024,818.400024,179968
2022-11-04,813.049988,821.049988,809.349976,816.400024,816.400024,114407
2022-11-07,814.799988,824.000000,809.049988,822.750000,822.750000,323549
2022-11-09,821.099976,825.599976,814.450012,817.650024,817.650024,156361
2022-11-10,817.250000,830.349976,817.250000,825.299988,825.299988,128612
2022-11-11,831.000000,836.950012,823.849976,826.450012,826.450012,96726
2022-11-14,817.000000,830.450012,817.000000,821.650024,821.650024,228386
2022-11-15,820.200012,838.000000,820.200012,835.099976,835.099976,343331
2022-11-16,838.000000,843.900024,827.950012,840.950012,840.950012,221167
2022-11-17,844.799988,849.200012,838.299988,846.049988,846.049988,67780
2022-11-18,850.000000,851.700012,831.099976,837.000000,837.000000,318275
2022-11-21,837.000000,852.500000,835.799988,851.200012,851.200012,78112
2022-11-22,854.700012,860.200012,845.299988,847.150024,847.150024,122345
2022-11-23,852.000000,852.000000,841.650024,842.599976,842.599976,62087
2022-11-24,851.849976,851.849976,837.799988,848.250000,848.250000,86979
2022-11-25,850.549988,877.099976,841.799988,846.799988,846.799988,80271
2022-11-28,838.500000,852.500000,836.049988,837.450012,837.450012,36491
2022-11-29,838.150024,844.849976,835.049988,835.700012,835.700012,211458
2022-11-30,835.000000,852.049988,832.450012,848.650024,848.650024,60718
2022-12-01,850.000000,853.000000,841.599976,848.000000,848.000000,208307
2022-12-02,848.500000,852.000000,839.450012,848.849976,848.849976,52171
2022-12-05,846.000000,850.549988,840.799988,843.900024,843.900024,52022
2022-12-06,845.000000,845.450012,829.750000,833.200012,833.200012,233531
2022-12-07,838.000000,841.500000,832.000000,834.400024,834.400024,68759
2022-12-08,834.000000,840.200012,826.400024,833.049988,833.049988,267528
2022-12-09,830.000000,836.200012,824.000000,835.000000,835.000000,204020
2022-12-12,831.250000,837.000000,825.500000,827.900024,827.900024,171191
2022-12-13,827.349976,840.000000,823.200012,838.099976,838.099976,133640
2022-12-14,839.000000,842.000000,828.549988,828.900024,828.900024,132698
2022-12-15,830.000000,830.799988,824.500000,826.099976,826.099976,89819
2022-12-16,823.049988,832.500000,819.500000,822.049988,822.049988,98976
2022-12-19,822.000000,844.799988,822.000000,839.799988,839.799988,97055
2022-12-20,840.400024,840.400024,822.000000,827.549988,827.549988,109013
2022-12-21,834.599976,834.599976,812.450012,813.750000,813.750000,52726
2022-12-22,817.000000,824.450012,809.400024,816.900024,816.900024,58310
2022-12-23,806.099976,817.650024,805.200012,808.299988,808.299988,152220
2022-12-26,802.650024,815.250000,801.750000,811.200012,811.200012,54802
2022-12-27,811.349976,819.150024,805.000000,814.750000,814.750000,53574
2022-12-28,813.000000,814.150024,801.599976,803.450012,803.450012,37158
2022-12-29,805.200012,824.400024,800.400024,819.450012,819.450012,82374
2022-12-30,822.650024,824.500000,805.000000,806.700012,806.700012,46752
